user_id,message
67826,Albion College
39573,University of Tennessee - Chattanooga
72242,University of Applied Sciences Aargau
38897,Konyang University
29882,Durban Institute of Technology
87947,Baltic International Academy
26912,Shaanxi Normal University
54499,International University of Travnik
51095,Universidad del Turismo
57531,The Federal Polytechnic Offa
73224,Ferghana Politechnical Institute
67918,Australian National University
54272,International School of Business Management
31357,Universidad de Oriente
73688,Zhongshan University
19723,Thapar Institute of Engineering and Technology
48180,Tunku Syed Sirajuddin Polytechnic
92318,"Free University Institute ""Carlo Cattaneo"""
67259,Wheaton College Massachusetts
76645,Notre Dame of Marbel University
90746,Shandong University of Triaditional Chinese Medicine
37440,Warsaw School of Economics
59233,Abylai Khan University
55661,Jubail University College
83959,Winston-Salem State University
87858,Northern University Bangladesh
92637,Institut Teknologi Brunei
92068,Quinnipiac College
21711,"City University of New York, Graduate School and University Center"
92015,Harvard University
80720,"Universidad de Puerto Rico, Cayey"
36507,Kasem Bundit University
93012,William Mitchell College of Law
87084,University of Alaska - Anchorage
73830,Ilam University of Medical Sciences
86864,Capitol College
87002,Universidad de Panamá
22843,North Kazakhstan State University
73977,Abai State University
55959,Tri-College University
65397,"University College London, University of London"
40277,Universidad Técnica Latinoamericana
12894,Universidad Isaac Newton
11231,Technical University of Mombasa
69303,Mokpo National Maritime University
53696,Shenyang Polytechnic University
73364,Ahi Evran University
73805,Shanghai TieDao University
58575,Ecole Catholique d'Arts & Metiers
62280,Istanbul Kultur University
73554,National University of Rwanda
64044,Technological Education Institute of Lamia
57779,Lampang College of Commerce and Technology
36568,James Madison University
47924,"University of California, Los Angeles"
90623,Jadavpur University
27317,Angelo State University
37266,Prempeh College
60745,Universiti Teknikal Malaysia Melaka
45907,Chuvash State University
28678,Kinjo Gakuin University
85308,Tokyo International University
47982,University of Notre Dame
44912,Heritage College
87126,Ekiti State University
94092,University of Fine Arts Belgrade
37470,Fort Valley State College
67878,Otto-Friedrich Universität Bamberg
99137,Ionian University Corfu
94335,Kaya University
87414,State University of New York Empire State College
60354,Pukyong National University
74607,"Fachhochschule und Berufskollegs NTA, Prof.Dr. Grübler gemein. GmbH"
32965,"Islamic Azad University, Shahryar"
68839,American University of Paris
58779,Sir Syed Institute Of Technology Islamabad
81815,Ming Chuan University
77255,Universidade dos Acores
11054,Xinjiang Normal University
56773,"Institute of Teachers Education, Sultan Abdul Halim"
91274,National University of Defense Technology
55616,Binary University College of Managemant & Entrepreneurship
39290,University of Aizu
29202,Polytechnic University of Tirane
50430,"School of Oriental and African Studies, University of London"
68731,Semey State Medical University
79656,Universitas Merdeka Malang
76668,Royal Academy of Music
96189,Université de Rouen - Haute Normandie
85631,Reformed Bible College
15181,Kumamoto Prefectural University
12714,Pepperdine University
85670,Technische Universität Ilmenau
69348,St. Joseph Group of Institutes
96852,Universitas Ngurah Rai
94562,Floret Global University
33462,Korea National University of Education
56257,University of Juba
43397,St. Louis University
95712,Sadat Institute of Higher Education
99331,University of King's College
59411,Mashhad University of Medical Sciences
61796,Beijing Language and Culture University
26483,Cochin University of Science and Technology
12348,City University
80845,The Achievers University
15403,Oakwood College
41871,King's College
82243,Ecole Nationale Supérieure du Pétrole et des Monteurs
34557,Ateneo de Davao University
96367,Université de Yaoundé I
30239,China University of Geosciences Wuhan
82908,University “Pavaresia” Vlore
68333,Université Abdou Moumouni de Niamey
78347,Universidad Pontificia de Salamanca
86701,Iowa Wesleyan College
13128,Kurgan International University
71147,Universidad del Mayab
39188,Crimea State Medical University
29896,Roskilde University
97706,Hiroshima Women's University
41391,East Stroudsburg State University
13844,"CollegeAmerica, Phoenix"
97111,Ukrainian National Forestry University
85772,Instituto de Estudios Superiores de la Sierra
